MMSI,TIME,LON,LAT
674610346,1646313000,21.400361857967,62.283984743797
454719031,1648886400,19.688408724663,57.951730841441
553183989,1647874200,18.874660733588,58.147027173945
302279712,1657090200,23.950887510804,59.732807609516
454719031,1649119800,18.827892215288,59.458874483489
686820244,1647295500,18.104997911487,59.333976721768
553183989,1647472200,19.232927108906,61.23738437824
493526359,1646553000,18.35058180482,58.715082293175
247320652,1646341800,17.770095321102,57.507283135329
686820244,1647659100,19.099376307033,59.504478252042
5581377,1647492300,19.385577801049,60.181412547276
234785060,1646645400,17.106893466989,56.875828900218
625396056,1648456500,18.799628925443,57.8327250618
493526359,1646281200,19.345281409925,60.267494758087
5581377,1647570300,19.429371327726,56.592909945074
810169206,1648162200,19.553281449797,57.242899734703
234785060,1646276100,19.034940532965,55.123905560971
388411257,1657412100,19.100069630704,58.002416990117
706673961,1656889800,19.641724288151,57.401542058212
553183989,1647883800,18.971787351425,58.555156827437
489329736,1648840800,19.036414279645,63.169790253292
493526359,1646101800,18.991586810351,59.520112749268
302279712,1656815700,19.511351848726,60.681819731944
787678836,1648585500,18.800209509568,57.832899627674
835641161,1648131300,24.303335430497,59.80778627463
305235359,1646199900,25.549161809137,60.300716544084
625396056,1648404600,19.214627227279,59.799713330662
810169206,1648019100,21.400579943236,62.283774654378
247320652,1646186100,15.767270966204,55.76194322182
625396056,1647912600,18.899657463966,59.281131086195
787678836,1648802400,22.996871071081,59.640820337793
553183989,1647664800,14.800749015778,55.283825864437
810169206,1648337700,17.88983197016,57.237304075068
625396056,1647972900,17.098626542201,56.864167608961
304183792,1658087400,21.399427259133,62.282631186865
454719031,1648598700,16.284024183539,56.017652773201
5581377,1647632400,18.667059355449,54.350742667928
706673961,1657218000,14.800038666952,55.283442857143
625396056,1648034100,14.800782525101,55.282334424879
5581377,1647598500,19.184622451384,55.309041702616
493526359,1646265300,19.646651751892,60.956492175736
247320652,1646105400,18.859321636113,58.987625622444
234785060,1646418300,18.800734611042,57.834175606555
302279712,1656844800,20.662757098781,61.905324576186
493526359,1646179500,21.399902920621,62.284213693655
304183792,1657982700,19.335202736841,59.997783744721
674610346,1646094000,18.546676639187,59.416710582521
305235359,1646337600,21.016056944487,56.517339454329
706673961,1656786300,18.869490239485,62.032223893892
234785060,1646702400,18.862918035134,59.318069106535
304183792,1657247700,18.875959136099,59.163344153511
5581377,1647614400,18.937784977148,54.59994034893
835641161,1648099200,21.990550002493,59.123214132022
553183989,1647902400,18.794347568858,59.371093480638
302279712,1656662100,18.904791857859,58.273639276597
5581377,1647740700,17.929050577437,57.932033689693
304183792,1658011200,20.082845220204,61.238795293486
489329736,1648700700,20.276499494991,58.941873661712
234785060,1646649900,17.245012297957,57.070658774366
